1	United Kingdom@	1963-04-20
2	United Kingdom@	1963-04-20
3	United Kingdom@	1963-04-20
4		1963-04-20
5	United Kingdom@	1963-04-20
6	United Kingdom@	1963-04-20
7	United Kingdom@	1963-04-20
8	Japan@	1963-04-20
9	Sweden@	1963-04-20
10	United Kingdom@	1963-04-20
11	America@	1963-04-20
12	America@	1963-04-20
13	America@	1963-04-20
14	America@America@	1963-04-20
15	America@	1963-04-20
16	United Kingdom@	1963-04-20
17	America@	1963-04-20
18	Australia@	1963-04-20
19	India@	1963-04-20
20	Switzerland@	1963-04-20
21	United Kingdom@	1963-04-20
22	United Kingdom@	1963-04-20
23	America@	1963-04-20
24	India@	1963-04-20
25		1963-04-20
26		1963-04-20
27	United Kingdom@	1963-04-20
28		1963-04-20
29		1963-04-20
30	America@	1963-04-20
31	America@America@	1963-04-20
32		1963-04-20
33	Norway@	1963-04-20
34		1963-04-20
35	America@	1963-04-20
36	Australia@	1963-04-20
37	America@	1963-04-20
38	Japan@	1963-04-20
39	America@	1963-04-20
40		1963-04-20
41		1963-04-20
42	Czech Republic@	1963-04-20
43		1963-04-20
44	America@	1963-04-20
45	United Kingdom@	1963-04-20
46	Serbia@	1963-04-20
47	Switzerland@	1963-04-20
48	New Zealand@	1963-04-20
49	Japan@	1963-04-20
50	Egypt@	1963-04-20
51	South Africa@	1963-04-20
52	United Kingdom@	1963-04-20
53		1963-04-20
54	Kenya@	1963-04-20
55	United Kingdom@	1963-04-20
56	America@	1963-04-20
57	Australia@	1963-04-20
58		1963-04-20
59	Hungary@	1963-04-20
60	Japan@	1963-04-20
61	Algeria@	1963-04-20
62		1963-04-20
63	India@	1963-04-20
64	America@	1963-04-20
65	America@	1963-04-20
66	America@	1963-04-20
67	United Kingdom@	1963-04-20
68	America@	1963-04-20
69	India@	1963-04-20
70	Australia@	1963-04-20
71	America@	1963-04-20
72	America@	1963-04-13
73	America@	1963-04-13
74		1963-04-13
75	United Kingdom@	1963-04-13
76		1963-04-13
77	America@	1963-04-13
78	China@	1963-04-13
79	America@	1963-04-13
80	United Kingdom@	1963-04-13
81	America@	1963-04-13
82	America@	1963-04-13
83	Serbia@	1963-04-13
84	America@	1963-04-13
85	Japan@	1963-04-13
86		1963-04-13
87		1963-04-13
88	America@	1963-04-06
89		1963-04-06
90	United Kingdom@	1963-04-06
91	America@	1963-04-06
92	United Kingdom@	1963-04-06
93	America@	1963-04-06
94	United Kingdom@	1963-04-06
95	France@	1963-04-06
96		1963-04-06
97	America@	1963-04-06
98	America@	1963-04-06
99	America@	1963-04-06
100		1963-04-06
101	America@	1963-04-06
102	India@	1963-04-06
103		1963-04-06
104	Australia@	1963-04-06
105	Canada@	1963-04-06
106	America@	1963-04-06
107	United Kingdom@	1963-04-06
108	United Kingdom@	1963-04-06
109	America@	1963-04-06
110	United Kingdom@	1963-04-06
111	America@	1963-04-06
112	America@	1963-04-06
113	America@	1963-04-06
114		1963-04-06
115		1963-04-06
116		1963-04-06
117	America@	1963-04-06
118	Spain@	1963-04-06
119	United Kingdom@	1963-04-06
120	America@	1963-04-06
121	Denmark@	1963-04-06
122		1963-04-06
123	Australia@	1963-04-06
124	America@	1963-04-06
125	America@	1963-04-06
126		1963-04-06
127		1963-04-06
128		1963-04-06
129	India@	1963-04-06
130		1963-04-06
131	Israel@	1963-04-06
132	Belgium@	1963-04-06
133	New Zealand@	1963-04-06
134	India@	1963-04-06
135	America@	1963-04-06
136	Colombia@	1963-04-06
137	Hungary@	1963-04-06
138	America@	1963-04-06
139	United Kingdom@	1963-04-06
140	Belgium@	1963-04-06
141	Wales@	1963-04-06
142		1963-04-06
143	Japan@	1963-04-06
144	America@	1963-04-06
145	United Kingdom@	1963-04-06
146		1963-03-30
147	Australia@	1963-03-30
148		1963-03-30
149		1963-03-30
150		1963-03-30
151		1963-03-30
152	America@	1963-03-30
153	America@	1963-03-30
154	India@	1963-03-30
155	Israel@	1963-03-30
156		1963-03-30
157		1963-03-30
158	America@	1963-03-30
159	America@	1963-03-30
160	Australia@	1963-03-30
161	Canada@	1963-03-30
162	New Zealand@	1963-03-30
163	America@	1963-03-30
164	America@	1963-03-30
165	China@	1963-03-30
166		1963-03-30
167	America@	1963-03-30
168	United Kingdom@	1963-03-30
169	America@	1963-03-30
170	America@	1963-03-30
171	United Kingdom@	1963-03-30
172	United Kingdom@	1963-03-30
173	America@	1963-03-30
174	United Kingdom@	1963-03-30
175	United Kingdom@	1963-03-30
176	United Kingdom@	1963-03-30
177	Hungary@	1963-03-30
178	Australia@	1963-03-30
179	Canada@	1963-03-30
180	America@	1963-03-30
181	Sweden@	1963-03-30
182	United Kingdom@	1963-03-30
183	United Kingdom@	1963-03-30
184	Spain@	1963-03-30
185		1963-03-30
186		1963-03-30
187	America@	1963-03-30
188	America@	1963-03-30
189	America@	1963-03-30
190	America@	1963-03-30
191	United Kingdom@	1963-03-30
192	Japan@	1963-03-30
193	German@	1963-03-30
194		1963-03-30
195	America@	1963-03-30
196	America@	1963-03-30
197	America@	1963-03-30
198	America@	1963-03-30
199	Swiss@	1963-03-30
200	America@	1963-03-30
201	America@	1963-03-30
202	United Kingdom@	1963-03-30
203	United Kingdom@	1963-03-30
204		1963-03-30
205	South Africa@	1963-03-30
206	Yugoslavia@	1963-03-30
207	United Kingdom@	1963-03-30
208	India@	1963-03-30
209	United Kingdom@	1963-03-30
210	America@	1963-03-30
211		1963-03-30
212	America@	1963-03-30
213	America@	1963-03-30
214	South Africa@	1963-03-23
215	United Kingdom@	1963-03-23
216	Australia@	1963-03-23
217		1963-03-23
218	Australia@	1963-03-23
219	United Kingdom@	1963-03-23
220	America@	1963-03-23
221	America@	1963-03-23
222	United Kingdom@	1963-03-23
223	America@	1963-03-23
224	United Kingdom@	1963-03-23
225		1963-03-23
226	United Kingdom@	1963-03-23
227	United Kingdom@	1963-03-23
228	Uganda@	1963-03-23
229		1963-03-23
230	United Kingdom@	1963-03-23
231	United Kingdom@	1963-03-23
232	United Kingdom@	1963-03-23
233	United Kingdom@	1963-03-23
234	America@	1963-03-23
235	United Kingdom@	1963-03-23
236		1963-03-23
237		1963-03-23
238		1963-03-23
239	United Kingdom@	1963-03-23
240	United Kingdom@	1963-03-23
241	Scotland@	1963-03-23
242	United Kingdom@	1963-03-23
243	United Kingdom@	1963-03-23
244	America@	1963-03-23
245	America@	1963-03-23
246		1963-03-23
247		1963-03-23
248	America@	1963-03-23
249	America@	1963-03-23
250	Finland@	1963-03-23
251	Scotland@	1963-03-23
252	Spain@	1963-03-23
253	America@	1963-03-23
254	German@	1963-03-23
255	America@	1963-03-23
256	America@	1963-03-23
257		1963-03-23
258		1963-03-23
259	America@	1963-03-23
260	Japan@	1963-03-23
261	Japan@	1963-03-23
262	United Kingdom@	1963-03-23
263		1963-03-23
264		1963-03-23
265	Australia@	1963-03-23
266	United Kingdom@	1963-03-23
267	Kenya@	1963-03-23
268		1963-03-23
269	United Kingdom@	1963-03-23
270	German@	1963-03-23
271	Australia@	1963-03-23
272	United Kingdom@	1963-03-23
273	United Kingdom@	1963-03-23
274	India@	1963-03-23
275		1963-03-23
276	America@	1963-03-23
277	America@	1963-03-23
278		1963-03-23
279	America@	1963-03-23
280	Australia@	1963-03-16
281	America@	1963-03-16
282	America@	1963-03-16
283	United Kingdom@	1963-03-16
284	United Kingdom@	1963-03-16
285	United Kingdom@	1963-03-16
286	United Kingdom@	1963-03-16
287		1963-03-16
288	Hungary@	1963-03-16
289	America@	1963-03-16
290	Brazil@	1963-03-16
291	United Kingdom@	1963-03-16
292	Israel@	1963-03-16
293	United Kingdom@	1963-03-16
294	Canada@	1963-03-16
295	America@	1963-03-16
296	America@	1963-03-16
297	America@	1963-03-16
298		1963-03-16
299	America@	1963-03-16
300		1963-03-16
301		1963-03-16
302		1963-03-16
303	United Kingdom@	1963-03-16
304	Israel@	1963-03-16
305	America@	1963-03-16
306	India@	1963-03-16
307	United Kingdom@	1963-03-16
308	India@	1963-03-16
309	America@	1963-03-16
310	United Kingdom@	1963-03-16
311	Scotland@	1963-03-16
312		1963-03-16
313		1963-03-16
314	America@	1963-03-16
315	America@	1963-03-16
316		1963-03-16
317	America@	1963-03-16
318	France@	1963-03-16
319	America@	1963-03-16
320	America@	1963-03-16
321	Australia@	1963-03-16
322	America@	1963-03-16
323	America@	1963-03-16
324		1963-03-16
325	United Kingdom@	1963-03-16
326	America@	1963-03-16
327	Australia@	1963-03-16
328	Netherlands@	1963-03-16
329	America@	1963-03-16
330		1963-03-16
331	America@	1963-03-16
332	America@	1963-03-16
333		1963-03-16
334	America@	1963-03-16
335	United Kingdom@	1963-03-16
336	Australia@	1963-03-16
337	Philippines@	1963-03-16
338	Sweden@	1963-03-16
339		1963-03-16
340		1963-03-16
341	Singapore@	1963-03-16
342		1963-03-16
343	Canada@	1963-03-16
344		1963-03-16
345	America@	1963-03-16
346	Sloveni@	1963-03-16
347	United Kingdom@	1963-03-16
348		1963-03-16
349	United Kingdom@	1963-03-09
350	America@	1963-03-09
351		1963-03-09
352	United Kingdom@	1963-03-09
353	Armenia@	1963-03-09
354	America@	1963-03-09
355	Australia@	1963-03-09
356	Japan@	1963-03-09
357	United Kingdom@	1963-03-09
358		1963-03-09
359		1963-03-09
360	America@	1963-03-09
361	America@	1963-03-09
362	United Kingdom@	1963-03-09
363	United Kingdom@	1963-03-09
364	America@	1963-03-09
365		1963-03-09
366	United Kingdom@	1963-03-09
367	Sweden@	1963-03-09
368	New Zealand@	1963-03-09
369	America@	1963-03-09
370		1963-03-09
371	America@	1963-03-09
372	America@	1963-03-09
373	America@	1963-03-09
374	United Kingdom@	1963-03-09
375	Netherlands@	1963-03-09
376	America@	1963-03-09
377		1963-03-09
378		1963-03-09
379	Holland@	1963-03-09
380		1963-03-09
381		1963-03-09
382	Poiand@	1963-03-09
383		1963-03-09
384	Australia@	1963-03-09
385	America@	1963-03-09
386		1963-03-09
387		1963-03-09
388		1963-03-09
389		1963-03-09
390	America@	1963-03-09
391	America@	1963-03-09
